graph,n_vars,p_conf,sim,n_confounders,query,query_is_cf,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
asia.bif,8,0.035,5,0,"Y={'dysp'}, X={'lung'}; Y={'tub', 'xray', 'dysp'}, X={'asia', 'lung', 'either', 'smoke', 'bronc'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,6,0,"Y={'smoke', 'dysp'}, X={'either', 'asia', 'tub'}; Y={'either', 'dysp'}, X={'asia', 'tub', 'smoke', 'bronc'}",True,0,0,50,0,0.0,50,0,1.0,50,0
asia.bif,8,0.035,7,1,"Y={'dysp', 'xray'}, X={'asia', 'tub', 'smoke', 'bronc'}; Y={'tub', 'smoke', 'dysp'}, X={'either', 'asia', 'bronc', 'lung'}",True,1,1,50,0,0.0,35,15,0.7,35,0
asia.bif,8,0.035,8,2,"Y={'either', 'asia', 'bronc', 'lung'}, X={'tub', 'smoke'}; Y={'either', 'tub'}, X={'asia', 'smoke', 'lung'}",True,1,2,50,0,0.0,42,8,0.84,42,0
asia.bif,8,0.035,9,2,"Y={'asia', 'tub', 'xray', 'dysp'}, X={'either', 'smoke', 'lung', 'bronc'}; Y={'tub', 'bronc', 'dysp'}, X={'smoke'}",True,2,2,50,0,0.0,22,28,0.44,22,0
sachs.bif,11,0.005,0,0,"Y={'P38', 'PIP2', 'Akt'}, X={'PKC', 'PIP3', 'Mek'}; Y={'PIP3', 'Plcg', 'P38', 'Raf', 'PIP2'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,1,0,"Y={'PIP3', 'Plcg', 'Akt'}, X={'PKC', 'Mek', 'PKA', 'Erk'}; Y={'Akt'}, X={'Mek'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,2,2,"Y={'PKC', 'Akt', 'Erk'}, X={'Raf', 'Mek', 'PKA'}; Y={'Akt'}, X={'Raf', 'Mek', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,41,9
sachs.bif,11,0.005,3,0,"Y={'PIP3'}, X={'Plcg'}; Y={'PIP3', 'Jnk'}, X={'PKC', 'Plcg', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,4,0,"Y={'PIP3', 'Plcg', 'Mek', 'Akt', 'Erk'}, X={'PKC', 'Raf'}; Y={'Erk'}, X={'Raf'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,5,1,"Y={'Jnk', 'PKA', 'P38', 'Raf', 'Erk'}, X={'PKC', 'Mek'}; Y={'Plcg', 'Raf'}, X={'PKC'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,6,0,"Y={'PKC', 'PIP2', 'Jnk'}, X={'Plcg', 'PKA'}; Y={'PIP2'}, X={'PIP3', 'Plcg'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,7,1,"Y={'PKC', 'Plcg', 'Mek'}, X={'Raf', 'PKA'}; Y={'Raf', 'Mek'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,8,0,"Y={'PKA'}, X={'PKC'}; Y={'Plcg', 'Raf', 'PIP2', 'PKA'}, X={'PKC', 'PIP3'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.005,9,0,"Y={'Akt', 'Plcg', 'PIP2', 'Erk'}, X={'PKC', 'PIP3', 'PKA'}; Y={'Plcg', 'Erk'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,0,0,"Y={'PKC', 'PIP3', 'PIP2'}, X={'Plcg'}; Y={'PIP2'}, X={'PIP3', 'Plcg'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,1,0,"Y={'Mek'}, X={'PKC', 'PKA'}; Y={'Mek'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,2,2,"Y={'PIP2', 'Jnk'}, X={'PKC', 'PIP3', 'Plcg'}; Y={'Jnk'}, X={'PKC', 'PKA'}",True,2,2,50,0,0.0,42,8,0.84,42,0
sachs.bif,11,0.015,3,2,"Y={'PKC', 'Akt', 'PKA'}, X={'Raf', 'Mek', 'Erk'}; Y={'PKA', 'Jnk', 'Akt'}, X={'Mek'}",True,2,2,50,0,0.0,38,12,0.76,38,0
sachs.bif,11,0.015,4,1,"Y={'Raf', 'Jnk', 'PKA'}, X={'PKC'}; Y={'Plcg', 'PKA'}, X={'PKC'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,5,1,"Y={'Plcg', 'Raf', 'Jnk', 'Akt'}, X={'PKC', 'Mek'}; Y={'Raf', 'Mek', 'Jnk', 'P38'}, X={'PKC', 'PKA'}",True,1,1,50,0,0.0,38,12,0.76,38,0
sachs.bif,11,0.015,6,0,"Y={'Plcg', 'Erk'}, X={'Mek'}; Y={'Plcg', 'Akt', 'PKA', 'P38', 'PIP2'}, X={'Mek'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,7,0,"Y={'P38'}, X={'PKC'}; Y={'P38'}, X={'PKC', 'PKA'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,8,0,"Y={'Mek', 'PIP2'}, X={'Plcg'}; Y={'Mek', 'PIP2', 'PKA'}, X={'Plcg'}",True,0,0,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.015,9,1,"Y={'PIP3'}, X={'Plcg'}; Y={'PKC', 'PIP3', 'PIP2', 'Erk'}, X={'Raf', 'Plcg', 'Mek', 'PKA'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.025,0,2,"Y={'Plcg', 'Erk'}, X={'PKC', 'Raf', 'Mek', 'PKA'}; Y={'PKC', 'Erk'}, X={'Raf'}",True,2,2,50,0,0.0,42,8,0.84,42,0
sachs.bif,11,0.025,1,1,"Y={'Mek', 'PKA', 'P38', 'Raf', 'Erk'}, X={'PKC'}; Y={'Mek', 'Akt', 'Jnk', 'P38', 'Raf'}, X={'PKC', 'PKA', 'Erk'}",True,1,1,50,0,0.0,50,0,1.0,50,0
sachs.bif,11,0.025,2,1,"Y={'PKC', 'P38', 'Erk'}, X={'Raf', 'Mek', 'PKA'}; Y={'Akt', 'Mek', 'Erk', 'P38'}, X={'Raf'}",True,1,1,50,0,0.0,45,5,0.9,45,0
