graph,n_vars,u_v_ratio,sim,n_confounders,n_districts,query,query_is_cf,min_intervention_outcome_dist,n_R_theta,n_R_theta_star,n_experiments,n_cf_experiments,fraction_cf,n_useless,n_useful,fraction_pruned,id_pruned,blocked_pruned
insurance.bif,27,0.6666666666666666,3,18,10,"Y={'DrivQuality', 'RiskAversion', 'Antilock', 'Airbag'}, X={'SocioEcon', 'MakeModel', 'Age', 'VehicleYear'}; Y={'Antilock'}, X={'MakeModel', 'Age', 'VehicleYear'}",True,1,8,11,30,21,0.7,7,23,0.23333333333333334,7,0
insurance.bif,27,0.2962962962962963,4,8,19,"Y={'DrivHist', 'CarValue'}, X={'SocioEcon', 'RiskAversion', 'SeniorTrain'}; Y={'DrivHist'}, X={'Age', 'RiskAversion', 'SeniorTrain'}",True,1,4,4,30,16,0.5333333333333333,14,16,0.4666666666666667,14,0
mildew.bif,35,0.11428571428571428,0,4,31,"Y={'meldug_4', 'dm_3', 'straaling_1', 'middel_2'}, X={'nedboer_1', 'lai_1', 'dm_2'}",False,1,4,4,30,21,0.7,11,19,0.36666666666666664,9,2
mildew.bif,35,0.9714285714285714,1,34,6,"Y={'foto_4', 'straaling_4', 'temp_1', 'dm_4', 'mikro_3'}, X={'temp_2'}",False,4,34,34,30,23,0.7666666666666667,5,25,0.16666666666666666,5,0
mildew.bif,35,0.37142857142857144,2,13,22,"Y={'foto_4'}, X={'mikro_3', 'lai_4'}; Y={'foto_4', 'mikro_2'}, X={'nedboer_1', 'middel_3', 'lai_4'}",True,1,8,10,30,22,0.7333333333333333,5,25,0.16666666666666666,5,0
mildew.bif,35,0.9142857142857143,3,32,8,"Y={'udbytte', 'straaling_2', 'mikro_2', 'lai_4', 'lai_3'}, X={'meldug_4', 'nedboer_1'}",False,1,31,32,30,24,0.8,2,28,0.06666666666666667,2,0
mildew.bif,35,0.2857142857142857,4,10,26,"Y={'mikro_2', 'meldug_2'}, X={'middel_1', 'lai_2', 'meldug_1', 'temp_2'}; Y={'udbytte', 'lai_0', 'mikro_2', 'meldug_2'}, X={'nedboer_3', 'middel_1'}",True,1,10,10,30,20,0.6666666666666666,7,23,0.23333333333333334,7,0
water.bif,32,0.125,0,4,28,"Y={'CNOD_12_15', 'CKNN_12_30', 'CKNI_12_45', 'CBODD_12_00'}, X={'CKNI_12_15', 'CKNI_12_00', 'CNOD_12_00'}",False,1,2,2,30,24,0.8,7,23,0.23333333333333334,5,2
water.bif,32,0.9375,1,30,6,"Y={'C_NI_12_30', 'CBODN_12_15', 'CBODN_12_30'}, X={'CKNN_12_00', 'CBODD_12_00', 'CNOD_12_00'}",False,1,18,29,30,24,0.8,1,29,0.03333333333333333,1,0
water.bif,32,0.96875,2,31,4,"Y={'CNOD_12_30', 'CNOD_12_45'}, X={'CNOD_12_15', 'CNOD_12_00', 'CNON_12_00', 'CNON_12_30', 'CKND_12_00'}",False,1,21,31,30,16,0.5333333333333333,8,22,0.26666666666666666,8,0
water.bif,32,0.9375,3,30,7,"Y={'CKNN_12_45', 'CKND_12_15', 'CKND_12_45', 'CBODN_12_30'}, X={'CNON_12_15', 'CKNI_12_30', 'CKND_12_00'}; Y={'CKND_12_45', 'CBODN_12_30'}, X={'C_NI_12_00', 'CBODN_12_15', 'CKNI_12_30', 'CNON_12_00', 'CKND_12_00'}",True,1,19,30,30,26,0.8666666666666667,2,28,0.06666666666666667,2,0
water.bif,32,0.46875,4,15,18,"Y={'CKNN_12_30', 'CNOD_12_30'}, X={'CKND_12_15', 'CBODD_12_00'}",False,1,10,14,30,20,0.6666666666666666,10,20,0.3333333333333333,10,0
asia.bif,8,0.125,0,1,7,"Y={'dysp', 'smoke', 'asia', 'either'}, X={'lung', 'tub', 'bronc'}",False,1,1,1,30,30,1.0,3,27,0.1,0,3
asia.bif,8,0.125,1,1,7,"Y={'lung', 'xray', 'either'}, X={'smoke', 'tub', 'asia'}; Y={'asia', 'xray', 'either'}, X={'tub'}",True,1,1,1,30,30,1.0,3,27,0.1,0,3
asia.bif,8,0.25,2,2,6,"Y={'lung'}, X={'smoke'}; Y={'lung', 'bronc', 'xray', 'either'}, X={'smoke', 'tub', 'asia'}",True,1,2,2,30,30,1.0,3,27,0.1,0,3
asia.bif,8,0.75,3,6,2,"Y={'smoke', 'dysp', 'xray', 'tub', 'asia'}, X={'lung', 'bronc', 'either'}",False,1,5,6,30,30,1.0,0,30,0.0,0,0
asia.bif,8,0.5,4,4,4,"Y={'xray'}, X={'smoke', 'lung', 'tub', 'asia', 'either'}",False,1,1,1,30,30,1.0,7,23,0.23333333333333334,0,7
sachs.bif,11,0.8181818181818182,0,9,3,"Y={'Mek', 'Raf', 'Akt', 'PKA'}, X={'PKC', 'Erk'}",False,1,5,9,30,30,1.0,0,30,0.0,0,0
sachs.bif,11,0.6363636363636364,1,7,5,"Y={'PIP3', 'P38', 'PIP2', 'Erk', 'Jnk'}, X={'PKC', 'Raf', 'Plcg', 'Mek', 'PKA'}",False,1,4,7,30,30,1.0,0,30,0.0,0,0
sachs.bif,11,0.36363636363636365,2,4,7,"Y={'PIP2'}, X={'PIP3', 'Plcg'}; Y={'PIP2'}, X={'PIP3'}",True,1,2,3,30,30,1.0,3,27,0.1,0,3
sachs.bif,11,0.8181818181818182,3,9,3,"Y={'PIP3', 'PKC'}, X={'Plcg'}; Y={'PIP3', 'Raf', 'Akt'}, X={'Plcg'}",True,1,8,9,30,30,1.0,0,30,0.0,0,0
sachs.bif,11,1.0,4,11,3,"Y={'PKA'}, X={'PKC'}; Y={'Plcg', 'P38', 'Akt', 'PKA'}, X={'PKC'}",True,1,8,11,30,30,1.0,0,30,0.0,0,0
alarm.bif,37,0.13513513513513514,0,5,32,"Y={'VENTLUNG', 'PRESS', 'HYPOVOLEMIA', 'TPR'}, X={'MINVOLSET', 'VENTTUBE', 'KINKEDTUBE'}",False,1,1,1,30,30,1.0,13,17,0.43333333333333335,0,13
